value,property,files
Perugia,nameascii,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Umbria,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Perugia,ls_name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Al Aqabah,name,ne_10m_populated_places_simple.geojson
Al Aqabah,nameascii,ne_10m_populated_places_simple.geojson
Aqaba,adm1name,ne_10m_populated_places_simple.geojson
Al Aqabah,ls_name,ne_10m_populated_places_simple.geojson
Al Karak,name,ne_10m_populated_places_simple.geojson
Al Karak,nameascii,ne_10m_populated_places_simple.geojson
Karak,adm1name,ne_10m_populated_places_simple.geojson
Al Karak,ls_name,ne_10m_populated_places_simple.geojson
Zemio,name,ne_10m_populated_places_simple.geojson
Zemio,nameascii,ne_10m_populated_places_simple.geojson
Haut-Mbomou,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Zemio,ls_name,ne_10m_populated_places_simple.geojson
Yakossi,name,ne_10m_populated_places_simple.geojson
Yakossi,nameascii,ne_10m_populated_places_simple.geojson
Mbomou,adm1name,ne_10m_populated_places_simple.geojson
Yakossi,ls_name,ne_10m_populated_places_simple.geojson
Bergamo,nameascii,ne_10m_populated_places_simple.geojson
Bergamo,ls_name,ne_10m_populated_places_simple.geojson
Trieste,nameascii,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Trieste,ls_name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Bolzano,name,ne_10m_populated_places_simple.geojson
Bolzano,nameascii,ne_10m_populated_places_simple.geojson
Trentino-Alto Adige,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Bolzano,ls_name,ne_10m_populated_places_simple.geojson
Trento,nameascii,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Trento,ls_name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Verona,nameascii,ne_10m_populated_places_simple.geojson
Verona,ls_name,ne_10m_populated_places_simple.geojson
Langsa,name,ne_10m_populated_places_simple.geojson
Langsa,nameascii,ne_10m_populated_places_simple.geojson
Aceh,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Langsa,ls_name,ne_10m_populated_places_simple.geojson
Longxi,name,ne_10m_populated_places_simple.geojson
Longxi,nameascii,ne_10m_populated_places_simple.geojson
Longxi,ls_name,ne_10m_populated_places_simple.geojson
Pingliang,name,ne_10m_populated_places_simple.geojson
Pingliang,nameascii,ne_10m_populated_places_simple.geojson
Pingliang,ls_name,ne_10m_populated_places_simple.geojson
Anxi,name,ne_10m_populated_places_simple.geojson
Anxi,nameascii,ne_10m_populated_places_simple.geojson
Anxi,ls_name,ne_10m_populated_places_simple.geojson
Minxian,name,ne_10m_populated_places_simple.geojson
Minxian,nameascii,ne_10m_populated_places_simple.geojson
Minxian,ls_name,ne_10m_populated_places_simple.geojson
Jinchang,name,ne_10m_populated_places_simple.geojson
Jinchang,nameascii,ne_10m_populated_places_simple.geojson
Jinchang,ls_name,ne_10m_populated_places_simple.geojson
Guide,name,ne_10m_populated_places_simple.geojson
Guide,nameascii,ne_10m_populated_places_simple.geojson
Guide,ls_name,ne_10m_populated_places_simple.geojson
Qinzhou,name,ne_10m_populated_places_simple.geojson
Qinzhou,nameascii,ne_10m_populated_places_simple.geojson
Guangxi,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Qinzhou,ls_name,ne_10m_populated_places_simple.geojson
Pingxiang,name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Pingxiang,nameascii,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Pingxiang1,ls_name,ne_10m_populated_places_simple.geojson
Yishan,name,ne_10m_populated_places_simple.geojson
Yishan,nameascii,ne_10m_populated_places_simple.geojson
Yishan,ls_name,ne_10m_populated_places_simple.geojson
Beihai,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Beihai,nameascii,ne_10m_populated_places_simple.geojson
Beihai,ls_name,ne_10m_populated_places_simple.geojson
Hechi,name,ne_10m_populated_places_simple.geojson
Hechi,nameascii,ne_10m_populated_places_simple.geojson
Hechi,ls_name,ne_10m_populated_places_simple.geojson
Tongren,name,ne_10m_populated_places_simple.geojson
Tongren,nameascii,ne_10m_populated_places_simple.geojson
Guizhou,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Tongren,ls_name,ne_10m_populated_places_simple.geojson
Fengjie,name,ne_10m_populated_places_simple.geojson
Fengjie,nameascii,ne_10m_populated_places_simple.geojson
Chongqing,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Fengjie,ls_name,ne_10m_populated_places_simple.geojson
Changping,name,ne_10m_populated_places_simple.geojson
Changping,nameascii,ne_10m_populated_places_simple.geojson
Changping,ls_name,ne_10m_populated_places_simple.geojson
Shaowu,name,ne_10m_populated_places_simple.geojson
Shaowu,nameascii,ne_10m_populated_places_simple.geojson
Shaowu,ls_name,ne_10m_populated_places_simple.geojson
Longyan,name,ne_10m_populated_places_simple.geojson
Longyan,nameascii,ne_10m_populated_places_simple.geojson
Longyan,ls_name,ne_10m_populated_places_simple.geojson
Zhangzhou,name,ne_10m_populated_places_simple.geojson
Zhangzhou,nameascii,ne_10m_populated_places_simple.geojson
Zhangzhou,ls_name,ne_10m_populated_places_simple.geojson
Putian,name,ne_10m_populated_places_simple.geojson
Putian,nameascii,ne_10m_populated_places_simple.geojson
Putian,ls_name,ne_10m_populated_places_simple.geojson
Fuan,name,ne_10m_populated_places_simple.geojson
Fuan,nameascii,ne_10m_populated_places_simple.geojson
Fuan,ls_name,ne_10m_populated_places_simple.geojson
Changting,name,ne_10m_populated_places_simple.geojson
Changting,nameascii,ne_10m_populated_places_simple.geojson
Changting,ls_name,ne_10m_populated_places_simple.geojson
Nanping,name,ne_10m_populated_places_simple.geojson
Nanping,nameascii,ne_10m_populated_places_simple.geojson
Nanping,ls_name,ne_10m_populated_places_simple.geojson
Ninde,name,ne_10m_populated_places_simple.geojson
Ninde,nameascii,ne_10m_populated_places_simple.geojson
Ninde,ls_name,ne_10m_populated_places_simple.geojson
Jieshou,name,ne_10m_populated_places_simple.geojson
Jieshou,nameascii,ne_10m_populated_places_simple.geojson
Anhui,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Jieshou,ls_name,ne_10m_populated_places_simple.geojson
Tongling,name,ne_10m_populated_places_simple.geojson
Tongling,nameascii,ne_10m_populated_places_simple.geojson
Tongling,ls_name,ne_10m_populated_places_simple.geojson
Maanshan,name,ne_10m_populated_places_simple.geojson
Maanshan,nameascii,ne_10m_populated_places_simple.geojson
Maanshan,ls_name,ne_10m_populated_places_simple.geojson
Fuyang,name,ne_10m_populated_places_simple.geojson
Fuyang,nameascii,ne_10m_populated_places_simple.geojson
Fuyang,ls_name,ne_10m_populated_places_simple.geojson
Yangjiang,name,ne_10m_populated_places_simple.geojson
Yangjiang,nameascii,ne_10m_populated_places_simple.geojson
Yangjiang,ls_name,ne_10m_populated_places_simple.geojson
Meizhou,name,ne_10m_populated_places_simple.geojson
Meizhou,nameascii,ne_10m_populated_places_simple.geojson
Meizhou,ls_name,ne_10m_populated_places_simple.geojson
Heyuan,name,ne_10m_populated_places_simple.geojson
Heyuan,nameascii,ne_10m_populated_places_simple.geojson
Heyuan,ls_name,ne_10m_populated_places_simple.geojson
Qingyuan,name,ne_10m_populated_places_simple.geojson
Qingyuan,nameascii,ne_10m_populated_places_simple.geojson
Qingyuan,ls_name,ne_10m_populated_places_simple.geojson
Zhaoqing,name,ne_10m_populated_places_simple.geojson
Zhaoqing,nameascii,ne_10m_populated_places_simple.geojson
Zhaoqing,ls_name,ne_10m_populated_places_simple.geojson
Lianxian,name,ne_10m_populated_places_simple.geojson
Lianxian,nameascii,ne_10m_populated_places_simple.geojson
Lianxian,ls_name,ne_10m_populated_places_simple.geojson
Jiangmen,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Jiangmen,nameascii,ne_10m_populated_places_simple.geojson
Jiangmen,ls_name,ne_10m_populated_places_simple.geojson
Maoming,name,ne_10m_populated_places_simple.geojson
Maoming,nameascii,ne_10m_populated_places_simple.geojson
Maoming,ls_name,ne_10m_populated_places_simple.geojson
Indramayu,name,ne_10m_populated_places_simple.geojson
Indramayu,nameascii,ne_10m_populated_places_simple.geojson
Jawa Barat,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Indramayu,ls_name,ne_10m_populated_places_simple.geojson
Sukabumi,name,ne_10m_populated_places_simple.geojson
Sukabumi,nameascii,ne_10m_populated_places_simple.geojson
Sukabumi,ls_name,ne_10m_populated_places_simple.geojson
Cilacap,name,ne_10m_populated_places_simple.geojson
Cilacap,nameascii,ne_10m_populated_places_simple.geojson
Jawa Tengah,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Cilacap,ls_name,ne_10m_populated_places_simple.geojson
Pati,name,ne_10m_populated_places_simple.geojson
Pati,nameascii,ne_10m_populated_places_simple.geojson
Pati,ls_name,ne_10m_populated_places_simple.geojson
Pakalongan,name,ne_10m_populated_places_simple.geojson
Pakalongan,nameascii,ne_10m_populated_places_simple.geojson
Pakalongan,ls_name,ne_10m_populated_places_simple.geojson
Tegal,name,ne_10m_populated_places_simple.geojson
Tegal,nameascii,ne_10m_populated_places_simple.geojson
Tegal,ls_name,ne_10m_populated_places_simple.geojson
Salatiga,name,ne_10m_populated_places_simple.geojson
Salatiga,nameascii,ne_10m_populated_places_simple.geojson
Salatiga,ls_name,ne_10m_populated_places_simple.geojson
Magelang,name,ne_10m_populated_places_simple.geojson
Magelang,nameascii,ne_10m_populated_places_simple.geojson
Magelang,ls_name,ne_10m_populated_places_simple.geojson
Serang,name,ne_10m_populated_places_simple.geojson
Serang,nameascii,ne_10m_populated_places_simple.geojson
Banten,adm1name,ne_10m_populated_places_simple.geojson
Serang,ls_name,ne_10m_populated_places_simple.geojson
Bekasi,name,ne_10m_populated_places_simple.geojson
Bekasi,nameascii,ne_10m_populated_places_simple.geojson
Jakarta Raya,adm1name,ne_10m_populated_places_simple.geojson;ne_110m_populated_places.geojson;ne_110m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Bekasi,ls_name,ne_10m_populated_places_simple.geojson
Singkawang,name,ne_10m_populated_places_simple.geojson
Singkawang,nameascii,ne_10m_populated_places_simple.geojson
Kalimantan Barat,adm1name,ne_10m_populated_places_simple.geojson
Singkawang,ls_name,ne_10m_populated_places_simple.geojson
Bandar Lampung,name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Tanjungkarang-Telukbetung,namealt,ne_10m_populated_places_simple.geojson
Tanjungkarang-Telubketung,nameascii,ne_10m_populated_places_simple.geojson
Lampung,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Tanjungkarang-Telubketung,ls_name,ne_10m_populated_places_simple.geojson
Perabumulih,name,ne_10m_populated_places_simple.geojson
Perabumulih,nameascii,ne_10m_populated_places_simple.geojson
Sumatera Selatan,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Perabumulih,ls_name,ne_10m_populated_places_simple.geojson
Kuta,name,ne_10m_populated_places_simple.geojson
Denpasar,namealt,ne_10m_populated_places_simple.geojson
Kuta,nameascii,ne_10m_populated_places_simple.geojson
Bali,adm1name,ne_10m_populated_places_simple.geojson
Kuta,ls_name,ne_10m_populated_places_simple.geojson
Singaraja,name,ne_10m_populated_places_simple.geojson
Singaraja,nameascii,ne_10m_populated_places_simple.geojson
Singaraja,ls_name,ne_10m_populated_places_simple.geojson
Sumenep,name,ne_10m_populated_places_simple.geojson
Sumenep,nameascii,ne_10m_populated_places_simple.geojson
Jawa Timur,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Sumenep,ls_name,ne_10m_populated_places_simple.geojson
Banyuwangi,name,ne_10m_populated_places_simple.geojson
Banyuwangi,nameascii,ne_10m_populated_places_simple.geojson
Banyuwangi,ls_name,ne_10m_populated_places_simple.geojson
Tuban,name,ne_10m_populated_places_simple.geojson
Tuban,nameascii,ne_10m_populated_places_simple.geojson
Tuban,ls_name,ne_10m_populated_places_simple.geojson
Probolinggo,name,ne_10m_populated_places_simple.geojson
Probolinggo,nameascii,ne_10m_populated_places_simple.geojson
Probolinggo,ls_name,ne_10m_populated_places_simple.geojson
Pasuruan,name,ne_10m_populated_places_simple.geojson
Pasuruan,nameascii,ne_10m_populated_places_simple.geojson
Pasuruan,ls_name,ne_10m_populated_places_simple.geojson
Mojokerto,name,ne_10m_populated_places_simple.geojson
Mojokerto,nameascii,ne_10m_populated_places_simple.geojson
Mojokerto,ls_name,ne_10m_populated_places_simple.geojson
Madiun,name,ne_10m_populated_places_simple.geojson
Madiun,nameascii,ne_10m_populated_places_simple.geojson
Madiun,ls_name,ne_10m_populated_places_simple.geojson
Kediri,name,ne_10m_populated_places_simple.geojson
Kediri,nameascii,ne_10m_populated_places_simple.geojson
Kediri,ls_name,ne_10m_populated_places_simple.geojson
Blitar,name,ne_10m_populated_places_simple.geojson
Blitar,nameascii,ne_10m_populated_places_simple.geojson
Blitar,ls_name,ne_10m_populated_places_simple.geojson
Waingapu,name,ne_10m_populated_places_simple.geojson
Waingapu,nameascii,ne_10m_populated_places_simple.geojson
Nusa Tenggara Timur,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Waingapu,ls_name,ne_10m_populated_places_simple.geojson
Maumere,name,ne_10m_populated_places_simple.geojson
Maumere,nameascii,ne_10m_populated_places_simple.geojson
Maumere,ls_name,ne_10m_populated_places_simple.geojson
Ende,name,ne_10m_populated_places_simple.geojson
Ende,nameascii,ne_10m_populated_places_simple.geojson
Ende,ls_name,ne_10m_populated_places_simple.geojson
Makale,name,ne_10m_populated_places_simple.geojson
Makale,nameascii,ne_10m_populated_places_simple.geojson
Sulawesi Selatan,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Makale,ls_name,ne_10m_populated_places_simple.geojson
Palopo,name,ne_10m_populated_places_simple.geojson
Palopo,nameascii,ne_10m_populated_places_simple.geojson
Palopo,ls_name,ne_10m_populated_places_simple.geojson
Watampone,name,ne_10m_populated_places_simple.geojson
Watampone,nameascii,ne_10m_populated_places_simple.geojson
Watampone,ls_name,ne_10m_populated_places_simple.geojson
Pinrang,name,ne_10m_populated_places_simple.geojson
Pinrang,nameascii,ne_10m_populated_places_simple.geojson
Pinrang,ls_name,ne_10m_populated_places_simple.geojson
Majene,name,ne_10m_populated_places_simple.geojson
Majene,nameascii,ne_10m_populated_places_simple.geojson
Sulawesi Barat,adm1name,ne_10m_populated_places_simple.geojson
Majene,ls_name,ne_10m_populated_places_simple.geojson
Saint-Etienne,name,ne_10m_populated_places_simple.geojson
Saint-Etienne,nameascii,ne_10m_populated_places_simple.geojson
Saint-Etienne,ls_name,ne_10m_populated_places_simple.geojson
Grenoble,name,ne_10m_populated_places_simple.geojson
Grenoble,nameascii,ne_10m_populated_places_simple.geojson
Grenoble,ls_name,ne_10m_populated_places_simple.geojson
Macara,name,ne_10m_populated_places_simple.geojson
Macara,nameascii,ne_10m_populated_places_simple.geojson
Loja,adm1name,ne_10m_populated_places_simple.geojson
Macara,ls_name,ne_10m_populated_places_simple.geojson
Zamora Chinchipe,adm1name,ne_10m_populated_places_simple.geojson
Zamora2,ls_name,ne_10m_populated_places_simple.geojson
Latacunga,name,ne_10m_populated_places_simple.geojson
La Tacunga,namealt,ne_10m_populated_places_simple.geojson
Latacunga,nameascii,ne_10m_populated_places_simple.geojson
Cotopaxi,adm1name,ne_10m_populated_places_simple.geojson
Latacunga,ls_name,ne_10m_populated_places_simple.geojson
Milagro,name,ne_10m_populated_places_simple.geojson
Milagro,nameascii,ne_10m_populated_places_simple.geojson
Milagro,ls_name,ne_10m_populated_places_simple.geojson
Babahoyo,name,ne_10m_populated_places_simple.geojson
Babahoyo,nameascii,ne_10m_populated_places_simple.geojson
Los Rios,adm1name,ne_10m_populated_places_simple.geojson
Babahoyo,ls_name,ne_10m_populated_places_simple.geojson
Chone,name,ne_10m_populated_places_simple.geojson
Chone,nameascii,ne_10m_populated_places_simple.geojson
Manabi,adm1name,ne_10m_populated_places_simple.geojson
Chone,ls_name,ne_10m_populated_places_simple.geojson
Jipijapa,name,ne_10m_populated_places_simple.geojson
Jipijapa,nameascii,ne_10m_populated_places_simple.geojson
Jipijapa,ls_name,ne_10m_populated_places_simple.geojson
Yaupi,name,ne_10m_populated_places_simple.geojson
Yaupi,nameascii,ne_10m_populated_places_simple.geojson
Morona Santiago,adm1name,ne_10m_populated_places_simple.geojson
Yaupi,ls_name,ne_10m_populated_places_simple.geojson
Macas,name,ne_10m_populated_places_simple.geojson
Macas,nameascii,ne_10m_populated_places_simple.geojson
Macas,ls_name,ne_10m_populated_places_simple.geojson
Cayambe,name,ne_10m_populated_places_simple.geojson
Cayambe,nameascii,ne_10m_populated_places_simple.geojson
Cayambe,ls_name,ne_10m_populated_places_simple.geojson
Ambato,name,ne_10m_populated_places_simple.geojson
Ambato,nameascii,ne_10m_populated_places_simple.geojson
Napo,adm1name,ne_10m_populated_places_simple.geojson
Ambato,ls_name,ne_10m_populated_places_simple.geojson
Tena,name,ne_10m_populated_places_simple.geojson
Tena,nameascii,ne_10m_populated_places_simple.geojson
Tungurahua,adm1name,ne_10m_populated_places_simple.geojson
Tena,ls_name,ne_10m_populated_places_simple.geojson
Yarumal,name,ne_10m_populated_places_simple.geojson
Yarumal,nameascii,ne_10m_populated_places_simple.geojson
Yarumal,ls_name,ne_10m_populated_places_simple.geojson
Puerto Berrio,name,ne_10m_populated_places_simple.geojson
Puerto Berrio,nameascii,ne_10m_populated_places_simple.geojson
Puerto Berrio,ls_name,ne_10m_populated_places_simple.geojson
Turbo,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Turbo,nameascii,ne_10m_populated_places_simple.geojson
Turbo,ls_name,ne_10m_populated_places_simple.geojson
Tunja,name,ne_10m_populated_places_simple.geojson
Tunja,nameascii,ne_10m_populated_places_simple.geojson
Tunja,ls_name,ne_10m_populated_places_simple.geojson
Chiquinquira,name,ne_10m_populated_places_simple.geojson
Chiquinquira,nameascii,ne_10m_populated_places_simple.geojson
Chiquinquira,ls_name,ne_10m_populated_places_simple.geojson
Duitama,name,ne_10m_populated_places_simple.geojson
Duitama,nameascii,ne_10m_populated_places_simple.geojson
Duitama,ls_name,ne_10m_populated_places_simple.geojson
Ayapel,name,ne_10m_populated_places_simple.geojson
Ayapel,nameascii,ne_10m_populated_places_simple.geojson
Ayapel,ls_name,ne_10m_populated_places_simple.geojson
Lorica,name,ne_10m_populated_places_simple.geojson
Lorica,nameascii,ne_10m_populated_places_simple.geojson
Lorica,ls_name,ne_10m_populated_places_simple.geojson
Socorro2,ls_name,ne_10m_populated_places_simple.geojson
Riohacha,name,ne_10m_populated_places_simple.geojson
Riohacha,nameascii,ne_10m_populated_places_simple.geojson
La Guajira,adm1name,ne_10m_populated_places_simple.geojson
Riohacha,ls_name,ne_10m_populated_places_simple.geojson
Cienfuegos,nameascii,ne_10m_populated_places_simple.geojson
Cienfuegos,adm1name,ne_10m_populated_places_simple.geojson
Cienfuegos,ls_name,ne_10m_populated_places_simple.geojson
Nueva Gerona,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Nueva Gerona,nameascii,ne_10m_populated_places_simple.geojson
Isla de la Juventud,adm1name,ne_10m_populated_places_simple.geojson
Nueva Gerona,ls_name,ne_10m_populated_places_simple.geojson
Sancti Spiritus,name,ne_10m_populated_places_simple.geojson
Sancti Spiritus,nameascii,ne_10m_populated_places_simple.geojson
Sancti Spíritus,adm1name,ne_10m_populated_places_simple.geojson
Sancti Spiritus,ls_name,ne_10m_populated_places_simple.geojson
Sixaola,name,ne_10m_populated_places_simple.geojson
Sixaola,nameascii,ne_10m_populated_places_simple.geojson
Limón,adm1name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Sixaola,ls_name,ne_10m_populated_places_simple.geojson
Puntarenas,nameascii,ne_10m_populated_places_simple.geojson
Puntarenas,ls_name,ne_10m_populated_places_simple.geojson
Ciudad Cortes,name,ne_10m_populated_places_simple.geojson
Ciudad Cortes,nameascii,ne_10m_populated_places_simple.geojson
Ciudad Cortes,ls_name,ne_10m_populated_places_simple.geojson
Quesada,name,ne_10m_populated_places_simple.geojson
Quesada,nameascii,ne_10m_populated_places_simple.geojson
Quesada,ls_name,ne_10m_populated_places_simple.geojson
Liberia,name,ne_10m_populated_places_simple.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Liberia,nameascii,ne_10m_populated_places_simple.geojson
Liberia,ls_name,ne_10m_populated_places_simple.geojson
La Cruz1,ls_name,ne_10m_populated_places_simple.geojson
Valdez,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Valdez,nameascii,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Valdez,ls_name,ne_10m_populated_places_simple.geojson;ne_50m_populated_places.geojson;ne_50m_populated_places_simple.geojson
Esmeraldas,nameascii,ne_10m_populated_places_simple.geojson
Esmeraldas,ls_name,ne_10m_populated_places_simple.geojson
Santa Ana,adm1name,ne_10m_populated_places_simple.geojson
Moron,name,ne_10m_populated_places_simple.geojson
Moron,nameascii,ne_10m_populated_places_simple.geojson
Moron1,ls_name,ne_10m_populated_places_simple.geojson
Nuevitas,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Nuevitas,nameascii,ne_10m_populated_places_simple.geojson
Camagüey,adm1name,ne_10m_populated_places_simple.geojson
Nuevitas,ls_name,ne_10m_populated_places_simple.geojson
Manzanillo,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Manzanillo,nameascii,ne_10m_populated_places_simple.geojson
Granma,adm1name,ne_10m_populated_places_simple.geojson
Manzanillo2,ls_name,ne_10m_populated_places_simple.geojson
Bayamo,name,ne_10m_populated_places_simple.geojson
Bayamo,nameascii,ne_10m_populated_places_simple.geojson
Bayamo,ls_name,ne_10m_populated_places_simple.geojson
Banes,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Banes,nameascii,ne_10m_populated_places_simple.geojson
Holguín,adm1name,ne_10m_populated_places_simple.geojson
Banes,ls_name,ne_10m_populated_places_simple.geojson
Victoria De Las Tunas,namealt,ne_10m_populated_places_simple.geojson
Las Tunas,nameascii,ne_10m_populated_places_simple.geojson
Las Tunas,adm1name,ne_10m_populated_places_simple.geojson
Las Tunas,ls_name,ne_10m_populated_places_simple.geojson
San Pedro de Macoris,name,ne_10m_populated_places_simple.geojson
San Pedro De Macoris,namealt,ne_10m_populated_places_simple.geojson
San Pedro de Macoris,nameascii,ne_10m_populated_places_simple.geojson
San Pedro de Macorís,adm1name,ne_10m_populated_places_simple.geojson
San Pedro de Macoris,ls_name,ne_10m_populated_places_simple.geojson
Armenia,name,ne_10m_populated_places_simple.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Armenia,nameascii,ne_10m_populated_places_simple.geojson
Quindío,adm1name,ne_10m_populated_places_simple.geojson
Armenia,ls_name,ne_10m_populated_places_simple.geojson
Pereira,name,ne_10m_populated_places_simple.geojson
Pereira,nameascii,ne_10m_populated_places_simple.geojson
Risaralda,adm1name,ne_10m_populated_places_simple.geojson
Pereira,ls_name,ne_10m_populated_places_simple.geojson
Honda,name,ne_10m_populated_places_simple.geojson
Honda,nameascii,ne_10m_populated_places_simple.geojson
Tolima,adm1name,ne_10m_populated_places_simple.geojson
Honda,ls_name,ne_10m_populated_places_simple.geojson
San Vicente del Caguan,name,ne_10m_populated_places_simple.geojson
San Vicente del Caguan,nameascii,ne_10m_populated_places_simple.geojson
Caquetá,adm1name,ne_10m_populated_places_simple.geojson
San Vicente del Caguan,ls_name,ne_10m_populated_places_simple.geojson
Florencia,name,ne_10m_populated_places_simple.geojson
Florencia,nameascii,ne_10m_populated_places_simple.geojson
Florencia,ls_name,ne_10m_populated_places_simple.geojson
Guapi,name,ne_10m_populated_places_simple.geojson
Guapi,nameascii,ne_10m_populated_places_simple.geojson
Cauca,adm1name,ne_10m_populated_places_simple.geojson
Guapi,ls_name,ne_10m_populated_places_simple.geojson
Neiva,name,ne_10m_populated_places_simple.geojson
Neiva,nameascii,ne_10m_populated_places_simple.geojson
Neiva,ls_name,ne_10m_populated_places_simple.geojson
Garzon,name,ne_10m_populated_places_simple.geojson
Garzon,nameascii,ne_10m_populated_places_simple.geojson
Garzon,ls_name,ne_10m_populated_places_simple.geojson
Ipiales,name,ne_10m_populated_places_simple.geojson
Ipiales,nameascii,ne_10m_populated_places_simple.geojson
Ipiales,ls_name,ne_10m_populated_places_simple.geojson
Buenaventura,name,ne_10m_populated_places_simple.geojson;ne_10m_ports.geojson
Buenaventura,nameascii,ne_10m_populated_places_simple.geojson
Buenaventura,ls_name,ne_10m_populated_places_simple.geojson
Tulua,name,ne_10m_populated_places_simple.geojson
Tulua,nameascii,ne_10m_populated_places_simple.geojson
Tulua,ls_name,ne_10m_populated_places_simple.geojson
Ibarra,name,ne_10m_populated_places_simple.geojson
Ibarra,nameascii,ne_10m_populated_places_simple.geojson
Imbabura,adm1name,ne_10m_populated_places_simple.geojson
Ibarra,ls_name,ne_10m_populated_places_simple.geojson
El Carmen de Bolivar,name,ne_10m_populated_places_simple.geojson
El Carmen de Bolivar,nameascii,ne_10m_populated_places_simple.geojson
El Carmen de Bolivar,ls_name,ne_10m_populated_places_simple.geojson
Jurado,name,ne_10m_populated_places_simple.geojson
Jurado,nameascii,ne_10m_populated_places_simple.geojson
Chocó,adm1name,ne_10m_populated_places_simple.geojson
Jurado,ls_name,ne_10m_populated_places_simple.geojson
Nuqui,name,ne_10m_populated_places_simple.geojson
Nuqui,nameascii,ne_10m_populated_places_simple.geojson
Nuqui,ls_name,ne_10m_populated_places_simple.geojson
Quibdo,name,ne_10m_populated_places_simple.geojson
Quibdo,nameascii,ne_10m_populated_places_simple.geojson
