value,property,files
Aksai Chin,name_sort,ne_10m_admin_0_disputed_areas.geojson
Pakistan,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Pakistan,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Northern Areas,brk_name,ne_10m_admin_0_disputed_areas.geojson
Northern Areas,name_sort,ne_10m_admin_0_disputed_areas.geojson
Gilgit–Baltistan,name_alt,ne_10m_admin_0_disputed_areas.geojson
Azad Kashmir,brk_name,ne_10m_admin_0_disputed_areas.geojson
Azad Kashmir,name_sort,ne_10m_admin_0_disputed_areas.geojson
Azad Jammu and Kashmir,name_alt,ne_10m_admin_0_disputed_areas.geojson
Korean DMZ (south),name,ne_10m_admin_0_disputed_areas.geojson
Korean DMZ (south),name_long,ne_10m_admin_0_disputed_areas.geojson
Korean Demilitarized Zone (south),brk_name,ne_10m_admin_0_disputed_areas.geojson
Korean Demilitarized Zone (south),name_sort,ne_10m_admin_0_disputed_areas.geojson
Korean DMZ (north),name,ne_10m_admin_0_disputed_areas.geojson
Korean DMZ (north),name_long,ne_10m_admin_0_disputed_areas.geojson
Korean Demilitarized Zone (north),brk_name,ne_10m_admin_0_disputed_areas.geojson
Korean Demilitarized Zone (north),name_sort,ne_10m_admin_0_disputed_areas.geojson
Falkland Is.,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Falkland Islands,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Falkland Is.,brk_name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Falkland Islands,name_sort,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Islas Malvinas,name_alt,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Sudan,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Sudan,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Abyei,brk_name,ne_10m_admin_0_disputed_areas.geojson
Abyei,name_sort,ne_10m_admin_0_disputed_areas.geojson
French Guiana,name,ne_10m_admin_0_disputed_areas.geojson;ne_10m_admin_1_label_points.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
French Guiana,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_map_units.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson
Lawa Headwaters,brk_name,ne_10m_admin_0_disputed_areas.geojson
Lawa Headwaters,name_sort,ne_10m_admin_0_disputed_areas.geojson
Guyana,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Guyana,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Courantyne Headwaters,brk_name,ne_10m_admin_0_disputed_areas.geojson
Courantyne Headwaters,name_sort,ne_10m_admin_0_disputed_areas.geojson
Golan Heights,name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_breakaway_disputed_areas.geojson
Golan Heights,name_long,ne_10m_admin_0_disputed_areas.geojson
Golan Heights,brk_name,ne_10m_admin_0_disputed_areas.geojson
Golan Heights,name_sort,ne_10m_admin_0_disputed_areas.geojson
Kenya,name,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Kenya,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_110m_admin_0_countries.geojson;ne_110m_admin_0_countries_lakes.geojson;ne_110m_admin_0_map_units.geojson;ne_110m_admin_0_sovereignty.geojson;ne_50m_admin_0_countries.geojson;ne_50m_admin_0_countries_lakes.geojson;ne_50m_admin_0_map_subunits.geojson;ne_50m_admin_0_map_units.geojson;ne_50m_admin_0_sovereignty.geojson
Ilemi Triangle,brk_name,ne_10m_admin_0_disputed_areas.geojson
Ilemi Triangle,name_sort,ne_10m_admin_0_disputed_areas.geojson
Nansei-shoto,name,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
Nansei-shoto,name_long,ne_10m_admin_0_disputed_areas.geojson;ne_50m_admin_0_map_subunits.geojson
Pinnacle Is.,brk_name,ne_10m_admin_0_disputed_areas.geojson
Pinnacle Is.,name_sort,ne_10m_admin_0_disputed_areas.geojson
"Senkaku Is., Diaoyu Is., Diaoyutai Is.",name_alt,ne_10m_admin_0_disputed_areas.geojson
